qid,risk,gated,action_taken,skip_reason,ent,mnorm,ndcg_base_k0,ndcg_base_k1,ndcg_ours,delta_net
1030303,0.9838014837972017,1,0,confidence_lock,3.910881996154785,1.177957557228148,0.7054765039205166,0.7054765039205166,0.7054765039205166,0.0
1037496,0.9807504417091167,0,0,none,3.9099605083465576,0.558291486636258,0.672487470728091,0.672487470728091,0.672487470728091,0.0
1043135,0.9825952208012285,1,1,ce_blend(alpha=0.60),3.9113895893096924,1.1742297881716175,0.7249737961113745,0.7249737961113745,0.732244343524066,0.007270547412691508
1051399,0.9828358983209542,1,1,ce_blend(alpha=0.60),3.9110724925994873,0.5733275776385438,0.8697389505140134,0.8697389505140134,0.8833267721674773,0.01358782165346395
1064670,0.9833974231137277,1,1,ce_blend(alpha=0.60),3.9083967208862305,0.32767237761878515,0.752377153303594,0.752377153303594,0.752377153303594,0.0
1071750,0.9809058540359958,0,0,none,3.909771203994751,0.37868546359534155,0.3907375903306646,0.3907375903306646,0.3907375903306646,0.0
1105792,0.9800811869288653,0,0,none,3.9091713428497314,0.059290097951247955,0.6295770883207445,0.6295770883207445,0.6295770883207445,0.0
1106979,0.9795125635212938,0,0,none,3.909926414489746,0.2726784498320642,0.7304835005548027,0.7304835005548027,0.7304835005548027,0.0
1108651,0.9835827791863397,1,1,ce_blend(alpha=0.60),3.9114112854003906,1.1695257170281794,0.4890860047586217,0.4890860047586217,0.5782509416538768,0.08916493689525512
1109707,0.9802009198238675,0,0,none,3.9118494987487793,0.21863079572081812,0.4200813085618038,0.4200813085618038,0.4200813085618038,0.0
1110678,0.9841317977861096,1,1,ce_blend(alpha=0.60),3.9109864234924316,1.0850931259179906,0.8260884317019316,0.8260884317019316,0.6402265407220059,-0.18586189097992567
1113256,0.9787321721974286,0,0,none,3.9076855182647705,0.01452351993372305,0.9942173966026455,0.9942173966026455,0.9942173966026455,0.0
1115210,0.9852050578631057,1,1,ce_blend_top2lock(alpha=0.60),3.911153793334961,2.367651491835134,0.07809193998932724,0.07809193998932724,0.1015999563457063,0.023508016356379058
1116380,0.9794320378991426,0,0,none,3.911480188369751,0.11099595986529243,0.044515532234569076,0.044515532234569076,0.044515532234569076,0.0
1121353,0.9812671392844597,1,1,ce_blend(alpha=0.60),3.9111900329589844,0.1692510189809143,0.9172394046616252,0.9172394046616252,0.938474333607646,0.021234928946020748
1122767,0.979270283746318,0,0,none,3.911536455154419,0.2925929971300945,0.36054839785557563,0.36054839785557563,0.36054839785557563,0.0
1127540,0.9822916949871597,1,1,ce_blend(alpha=0.60),3.9074037075042725,0.3216394834300495,0.8311487723933293,0.8311487723933293,0.8526811297216428,0.02153235732831349
1131069,0.9889649573413251,1,0,confidence_lock,3.9109373092651367,3.2758899494737275,1.0,1.0,1.0,0.0
1132532,0.9807848205716297,0,0,none,3.911756753921509,1.1320323489932431,0.8337448843457721,0.8337448843457721,0.8337448843457721,0.0
1133579,0.9806874493480117,0,0,none,3.9117095470428467,1.0989853269116154,0.2670708014171927,0.2670708014171927,0.2670708014171927,0.0
1136043,0.9796938853128446,0,0,none,3.9104490280151367,0.05796390389170667,0.4188846426542478,0.4188846426542478,0.4188846426542478,0.0
1136047,0.9821217712806989,1,1,ce_blend(alpha=0.60),3.9107866287231445,0.593370717765275,0.30093994107360034,0.30093994107360034,0.3333518843274813,0.03241194325388097
1136962,0.9805327121140114,0,0,none,3.9107463359832764,0.27643877183148347,0.748466552802194,0.748466552802194,0.748466552802194,0.0
118440,0.9878043981359023,1,0,confidence_lock,3.9099161624908447,1.3815957321551928,0.1510257463937861,0.1510257463937861,0.1510257463937861,0.0
121171,0.9827467670332103,1,1,ce_blend(alpha=0.60),3.9109160900115967,0.6112237778051833,0.514146637771324,0.514146637771324,0.514146637771324,0.0
135802,0.9818964756734244,1,1,ce_blend(alpha=0.60),3.9065487384796143,0.04923968767331673,0.7273809913370929,0.7273809913370929,0.8647609320229795,0.13737994068588666
141630,0.9789953775423603,0,0,none,3.911898612976074,0.1505350177783314,0.6219424960660518,0.6219424960660518,0.6219424960660518,0.0
156498,0.9817174122298369,1,1,ce_blend(alpha=0.60),3.911546230316162,0.7579771125287639,0.4288094899730459,0.4288094899730459,0.4590906878214823,0.030281197848436414
169208,0.9799707666640781,0,0,none,3.911651849746704,0.4969809398841074,0.5362242912566325,0.5362242912566325,0.5362242912566325,0.0
174463,0.9815446631646513,1,1,ce_blend(alpha=0.60),3.9113357067108154,0.12219006892996898,0.5090423477701499,0.5090423477701499,0.6197621880506529,0.11071984028050297
23849,0.9796617623092442,0,0,none,3.911526918411255,0.20441285009397805,0.6249639812408428,0.6249639812408428,0.6249639812408428,0.0
258062,0.9809241478530782,0,0,none,3.911620855331421,1.093794767761523,0.4569970750177365,0.4569970750177365,0.4569970750177365,0.0
324585,0.9847874062780203,1,0,confidence_lock,3.9095168113708496,1.2781699287279589,0.9305687780632227,0.9305687780632227,0.9305687780632227,0.0
330975,0.9790544723142022,0,0,none,3.91184401512146,0.24001644287947269,0.614022666394978,0.614022666394978,0.614022666394978,0.0
332593,0.9794196781712102,0,0,none,3.911668539047241,0.3017785749538812,0.5811807616445056,0.5811807616445056,0.5811807616445056,0.0
336901,0.9830277890955756,1,1,ce_blend(alpha=0.60),3.9108617305755615,0.02692044268586163,0.4692787260227565,0.4692787260227565,0.4692787260227565,0.0
390360,0.9811501340206308,0,0,none,3.9119176864624023,2.6075956834886176,0.14403311264051635,0.14403311264051635,0.14403311264051635,0.0
405163,0.9800117172384564,0,0,none,3.9119699001312256,2.0197137448489086,0.0,0.0,0.0,0.0
42255,0.981204260611348,0,0,none,3.911130905151367,0.09361641632516746,0.8680163531014742,0.8680163531014742,0.8680163531014742,0.0
47210,0.978971423446604,0,0,none,3.91129732131958,0.01475224576583149,0.8430400500123447,0.8430400500123447,0.8430400500123447,0.0
555530,0.9788725942266951,0,0,none,3.9117939472198486,0.22810856827167497,0.19326092440147397,0.19326092440147397,0.19326092440147397,0.0
583468,0.9788853971575263,0,0,none,3.9116971492767334,0.10663864527000463,0.8699181219331126,0.8699181219331126,0.8699181219331126,0.0
640502,0.9799003472082617,0,0,none,3.9117074012756348,0.489599046995481,0.8611375561264454,0.8611375561264454,0.8611375561264454,0.0
67316,0.9823940907571149,1,1,ce_blend_top2lock(alpha=0.60),3.9118945598602295,3.562398405796108,0.27622680410462624,0.27622680410462624,0.41899876315490747,0.14277195905028123
673670,0.9803536395212369,0,0,none,3.9111709594726562,0.5538566021110922,0.0,0.0,0.0,0.0
701453,0.9802460204218187,0,0,none,3.911015510559082,0.020929636189082734,0.947866526952465,0.947866526952465,0.947866526952465,0.0
730539,0.9833329828003214,1,1,ce_blend_top2lock(alpha=0.60),3.9113547801971436,1.2956128568808691,0.5007000119014867,0.5007000119014867,0.5532200477173205,0.052520035815833754
768208,0.9828335569557961,1,1,ce_blend(alpha=0.60),3.91025710105896,0.5022439302727308,0.44149354280114045,0.44149354280114045,0.4746655579861528,0.03317201518501234
877809,0.9790604433962263,0,0,none,3.9112894535064697,0.024092221882749818,0.7809961887955847,0.7809961887955847,0.7809961887955847,0.0
911232,0.9830668214527882,1,1,ce_blend(alpha=0.60),3.9106364250183105,0.5932891846806719,0.6141017999299456,0.6141017999299456,0.6141017999299456,0.0
914916,0.9799465856405751,0,0,none,3.9118800163269043,0.2286646544545936,0.25668998105294,0.25668998105294,0.25668998105294,0.0
938400,0.9792775284564293,0,0,none,3.911644458770752,0.3541132350375871,0.5317456965564611,0.5317456965564611,0.5317456965564611,0.0
940547,0.9803706670211051,0,0,none,3.9113588333129883,0.5539244413007651,0.26689792213662733,0.26689792213662733,0.26689792213662733,0.0
997622,0.9807443259256703,0,0,none,3.9113426208496094,0.8887837460314421,1.0,1.0,1.0,0.0
